time,date,close,open,high,low
1272920400.0,04.05.2010,7.11,7.2,7.3,7.06
1273006800.0,05.05.2010,7.06,7.16,7.16,7.01
1273093200.0,06.05.2010,7.06,7.06,7.16,7.01
1273179600.0,07.05.2010,6.72,6.87,7.06,6.67
1273438800.0,10.05.2010,7.16,7.06,7.2,7.01
1273525200.0,11.05.2010,7.2,7.11,7.25,7.06
1273611600.0,12.05.2010,7.59,7.25,7.69,7.16
1273698000.0,13.05.2010,7.69,7.69,7.69,7.35
1273784400.0,14.05.2010,7.35,7.64,7.74,7.35
1274043600.0,17.05.2010,7.59,7.3,7.64,7.25
1274130000.0,18.05.2010,7.78,7.93,7.93,7.64
1274302800.0,20.05.2010,7.4,7.59,7.69,7.4
1274389200.0,21.05.2010,7.3,7.4,7.54,7.2
1274648400.0,24.05.2010,7.45,7.45,7.59,7.3
1274734800.0,25.05.2010,7.06,7.25,7.4,6.96
1274821200.0,26.05.2010,7.59,7.2,7.59,6.96
1274907600.0,27.05.2010,7.45,7.45,7.54,7.4
1274994000.0,28.05.2010,7.69,7.59,7.69,7.45
1275253200.0,31.05.2010,7.54,7.45,7.59,7.45
1275339600.0,01.06.2010,7.45,7.49,7.54,7.3
1275426000.0,02.06.2010,7.64,7.49,7.64,7.4
1275512400.0,03.06.2010,7.74,7.78,7.93,7.69
1275598800.0,04.06.2010,7.64,7.74,7.78,7.54
1275858000.0,07.06.2010,7.49,7.49,7.59,7.45
1275944400.0,08.06.2010,7.45,7.54,7.64,7.4
1276030800.0,09.06.2010,7.45,7.49,7.54,7.3
1276117200.0,10.06.2010,7.64,7.45,7.69,7.35
1276203600.0,11.06.2010,7.64,7.69,7.74,7.54
1276462800.0,14.06.2010,7.78,7.74,7.88,7.64
1276549200.0,15.06.2010,7.93,7.74,7.93,7.64
1276635600.0,16.06.2010,7.78,7.98,7.98,7.78
1276722000.0,17.06.2010,7.83,7.78,8.07,7.74
1276808400.0,18.06.2010,7.88,7.88,7.98,7.83
1277067600.0,21.06.2010,8.07,8.03,8.07,7.93
1277154000.0,22.06.2010,7.98,7.93,8.07,7.88
1277240400.0,23.06.2010,7.78,7.93,7.98,7.69
1277326800.0,24.06.2010,7.64,7.78,7.83,7.59
1277413200.0,25.06.2010,7.59,7.69,7.74,7.54
1277672400.0,28.06.2010,7.74,7.64,7.78,7.59
1277758800.0,29.06.2010,7.54,7.74,7.74,7.49
1277845200.0,30.06.2010,7.4,7.49,7.59,7.35
1277931600.0,01.07.2010,7.3,7.35,7.45,7.25
1278018000.0,02.07.2010,7.64,7.4,7.69,7.4
1278277200.0,05.07.2010,7.69,7.64,7.78,7.59
1278363600.0,06.07.2010,7.88,7.74,7.88,7.69
1278450000.0,07.07.2010,7.88,7.78,7.93,7.69
1278536400.0,08.07.2010,7.93,7.93,8.03,7.88
1278622800.0,09.07.2010,7.88,7.98,8.03,7.74
1278882000.0,12.07.2010,7.93,7.88,7.93,7.78
1278968400.0,13.07.2010,8.07,7.93,8.17,7.88
1279054800.0,14.07.2010,8.27,8.17,8.32,8.17
1279141200.0,15.07.2010,8.03,8.22,8.41,8.03
1279227600.0,16.07.2010,8.03,8.07,8.22,7.98
1279486800.0,19.07.2010,8.12,7.98,8.22,7.98
1279573200.0,20.07.2010,8.17,8.17,8.27,8.03
1279659600.0,21.07.2010,8.36,8.22,8.41,8.17
1279746000.0,22.07.2010,8.27,8.32,8.46,8.22
1279832400.0,23.07.2010,8.22,8.27,8.32,8.12
1280091600.0,26.07.2010,8.07,8.27,8.27,8.03
1280178000.0,27.07.2010,8.07,8.12,8.22,8.07
1280264400.0,28.07.2010,7.98,8.17,8.17,7.88
1280350800.0,29.07.2010,8.12,7.98,8.12,7.98
1280437200.0,30.07.2010,8.07,8.03,8.12,7.88
1280696400.0,02.08.2010,8.22,8.17,8.27,8.07
1280782800.0,03.08.2010,7.93,8.17,8.27,7.88
1280869200.0,04.08.2010,7.78,7.93,8.03,7.78
1280955600.0,05.08.2010,7.69,7.78,7.88,7.59
1281042000.0,06.08.2010,7.59,7.74,7.83,7.49
1281301200.0,09.08.2010,7.64,7.64,7.74,7.59
1281387600.0,10.08.2010,7.69,7.64,7.69,7.59
1281474000.0,11.08.2010,7.54,7.59,7.59,7.45
1281560400.0,12.08.2010,7.69,7.54,7.69,7.49
1281646800.0,13.08.2010,7.69,7.78,7.78,7.64
1281906000.0,16.08.2010,7.74,7.74,7.78,7.64
1281992400.0,17.08.2010,7.88,7.78,7.93,7.74
1282078800.0,18.08.2010,7.88,7.88,7.98,7.78
1282165200.0,19.08.2010,7.74,7.88,7.93,7.69
1282251600.0,20.08.2010,7.69,7.69,7.74,7.54
1282510800.0,23.08.2010,7.69,7.69,7.74,7.59
1282597200.0,24.08.2010,7.59,7.64,7.69,7.45
1282683600.0,25.08.2010,7.49,7.54,7.64,7.4
1282770000.0,26.08.2010,7.59,7.49,7.69,7.49
1282856400.0,27.08.2010,7.74,7.64,7.78,7.64
1283202000.0,31.08.2010,7.83,7.69,7.83,7.64
1283288400.0,01.09.2010,7.88,7.83,7.93,7.69
1283374800.0,02.09.2010,7.88,7.88,7.93,7.74
1283461200.0,03.09.2010,7.93,7.93,7.93,7.78
1283720400.0,06.09.2010,7.88,7.88,7.93,7.78
1283806800.0,07.09.2010,7.88,7.88,7.93,7.83
1283893200.0,08.09.2010,7.93,7.88,7.93,7.83
1284325200.0,13.09.2010,8.07,8.12,8.12,7.93
1284411600.0,14.09.2010,8.03,8.03,8.07,7.98
1284498000.0,15.09.2010,8.07,8.03,8.07,7.93
1284584400.0,16.09.2010,8.12,8.03,8.12,7.93
1284670800.0,17.09.2010,7.98,8.17,8.17,7.93
1284930000.0,20.09.2010,8.07,8.03,8.07,7.93
1285016400.0,21.09.2010,7.98,8.12,8.12,7.98
1285102800.0,22.09.2010,8.07,7.98,8.12,7.98
1285189200.0,23.09.2010,7.98,8.03,8.12,7.88
1285275600.0,24.09.2010,8.07,8.03,8.12,7.98
1285534800.0,27.09.2010,8.27,8.07,8.32,8.07
1285621200.0,28.09.2010,8.41,8.17,8.46,8.17
1285707600.0,29.09.2010,8.51,8.46,8.65,8.36
1285794000.0,30.09.2010,8.56,8.56,8.61,8.36
1285880400.0,01.10.2010,8.36,8.51,8.56,8.32
1286139600.0,04.10.2010,8.46,8.36,8.56,8.32
1286226000.0,05.10.2010,8.51,8.46,8.61,8.36
1286312400.0,06.10.2010,8.51,8.61,8.61,8.46
1286398800.0,07.10.2010,8.46,8.51,8.61,8.41
1286485200.0,08.10.2010,8.61,8.46,8.65,8.41
1286744400.0,11.10.2010,8.99,8.65,9.04,8.56
1286830800.0,12.10.2010,9.14,8.95,9.24,8.9
1286917200.0,13.10.2010,9.28,9.19,9.43,9.14
1287003600.0,14.10.2010,9.24,9.38,9.43,9.14
1287090000.0,15.10.2010,9.38,9.24,9.57,9.14
1287349200.0,18.10.2010,9.33,9.38,9.53,9.33
1287435600.0,19.10.2010,9.19,9.33,9.43,9.14
1287522000.0,20.10.2010,9.09,9.14,9.33,9.09
1287608400.0,21.10.2010,9.24,9.19,9.28,8.99
1287694800.0,22.10.2010,9.38,9.28,9.43,9.19
1287954000.0,25.10.2010,9.24,9.38,9.48,9.24
1288040400.0,26.10.2010,9.19,9.24,9.28,9.14
1288126800.0,27.10.2010,8.8,9.19,9.19,8.7
1288213200.0,28.10.2010,8.7,8.8,8.8,8.65
1288558800.0,01.11.2010,8.84,8.82,8.88,8.76
1288645200.0,02.11.2010,8.82,8.86,8.92,8.7
1288731600.0,03.11.2010,8.84,8.84,8.88,8.72
1288818000.0,04.11.2010,9.17,8.88,9.19,8.82
1288904400.0,05.11.2010,9.07,9.23,9.26,9.05
1289163600.0,08.11.2010,8.99,8.99,9.03,8.92
1289250000.0,09.11.2010,8.99,8.97,9.05,8.88
1289336400.0,10.11.2010,8.97,8.99,9.07,8.92
1289422800.0,11.11.2010,8.68,8.99,8.99,8.68
1289509200.0,12.11.2010,8.49,8.61,8.61,8.41
1289768400.0,15.11.2010,8.51,8.49,8.55,8.43
1290373200.0,22.11.2010,8.32,8.74,8.76,8.3
1290459600.0,23.11.2010,8.37,8.22,8.47,8.2
1290546000.0,24.11.2010,8.37,8.43,8.45,8.14
1290632400.0,25.11.2010,8.24,8.41,8.41,8.2
1290718800.0,26.11.2010,8.08,8.18,8.18,8.01
1290978000.0,29.11.2010,7.77,8.12,8.16,7.74
1291064400.0,30.11.2010,8.22,7.79,8.22,7.79
1291150800.0,01.12.2010,8.12,8.2,8.24,8.08
1291237200.0,02.12.2010,8.24,8.14,8.3,8.05
1291323600.0,03.12.2010,8.24,8.22,8.34,8.16
1291582800.0,06.12.2010,8.28,8.26,8.32,8.18
1291669200.0,07.12.2010,8.45,8.32,8.49,8.28
1291755600.0,08.12.2010,8.57,8.37,8.63,8.36
1291842000.0,09.12.2010,8.16,8.61,8.61,8.08
1291928400.0,10.12.2010,8.05,8.16,8.2,7.91
1292187600.0,13.12.2010,8.24,8.1,8.28,7.89
1292274000.0,14.12.2010,8.2,8.24,8.32,8.1
1292360400.0,15.12.2010,7.95,8.16,8.16,7.93
1292446800.0,16.12.2010,7.77,7.91,8.03,7.76
1292533200.0,17.12.2010,7.74,7.85,8.01,7.52
1292792400.0,20.12.2010,7.77,7.74,7.81,7.47
1292878800.0,21.12.2010,7.99,7.83,8.05,7.79
1292965200.0,22.12.2010,8.1,7.97,8.14,7.95
1293051600.0,23.12.2010,8.28,8.14,8.3,8.1
1293138000.0,24.12.2010,8.28,8.28,8.32,8.2
1293397200.0,27.12.2010,8.37,8.26,8.37,8.14
1293483600.0,28.12.2010,8.43,8.37,8.51,8.32
1293570000.0,29.12.2010,8.47,8.49,8.49,8.37
1293656400.0,30.12.2010,8.53,8.47,8.55,8.43
1293742800.0,31.12.2010,8.3,8.59,8.68,8.3
1294002000.0,03.01.2011,8.39,8.36,8.41,8.26
1294088400.0,04.01.2011,8.45,8.41,8.53,8.41
1294174800.0,05.01.2011,8.34,8.45,8.49,8.32
1294261200.0,06.01.2011,8.36,8.37,8.43,8.34
1294347600.0,07.01.2011,8.24,8.36,8.41,8.16
1294606800.0,10.01.2011,8.06,8.22,8.22,8.03
1294693200.0,11.01.2011,8.1,8.12,8.22,8.08
1294779600.0,12.01.2011,8.14,8.12,8.22,8.06
1294866000.0,13.01.2011,8.36,8.18,8.39,8.18
1294952400.0,14.01.2011,8.18,8.36,8.39,8.14
1295211600.0,17.01.2011,8.06,8.12,8.16,8.06
1295298000.0,18.01.2011,7.97,8.1,8.16,7.95
1295384400.0,19.01.2011,7.87,8.05,8.1,7.81
1295470800.0,20.01.2011,7.6,7.83,7.85,7.56
1295557200.0,21.01.2011,7.79,7.6,7.85,7.35
1295816400.0,24.01.2011,7.5,7.83,7.83,7.48
1295902800.0,25.01.2011,7.43,7.6,7.64,7.37
1295989200.0,26.01.2011,7.58,7.52,7.62,7.47
1296075600.0,27.01.2011,7.41,7.58,7.64,7.39
