"Tarih","Simdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"26.06.2020","132.613,81","133.436,48","133.624,11","132.345,47","1,28B","0,27%"
"25.06.2020","132.260,23","132.503,41","133.407,45","131.530,78","1,89B","-0,25%"
"24.06.2020","132.590,03","133.672,22","134.118,77","132.495,77","2,73B","-0,82%"
"23.06.2020","133.689,92","134.041,80","134.841,02","133.484,06","2,34B","0,09%"
"22.06.2020","133.571,94","133.176,16","134.064,27","132.620,72","3,02B","1,35%"
"19.06.2020","131.797,30","131.221,75","132.439,13","130.729,31","3,74B","1,51%"
"18.06.2020","129.842,85","127.770,44","130.024,87","127.770,44","2,56B","1,74%"
"17.06.2020","127.621,35","128.247,56","128.545,56","127.002,84","1,34B","-0,28%"
"16.06.2020","127.986,05","128.100,56","129.268,65","127.929,16","1,67B","1,07%"
"15.06.2020","126.635,72","126.626,83","127.165,53","125.722,59","1,45B","-0,45%"
"12.06.2020","127.209,35","125.890,18","127.695,55","125.196,49","1,73B","0,38%"
"11.06.2020","126.723,52","127.272,08","127.928,50","126.240,26","2,22B","-0,82%"
"10.06.2020","127.766,63","127.665,46","128.526,96","127.392,13","2,04B","0,38%"
"09.06.2020","127.283,74","128.389,05","128.878,93","126.538,31","1,74B","-0,59%"
"08.06.2020","128.045,08","128.934,37","129.839,98","127.624,47","1,72B","-0,48%"
"05.06.2020","128.663,92","128.666,87","129.385,99","128.023,71","1,23B","0,59%"
"04.06.2020","127.907,63","127.402,99","128.183,73","126.707,23","1,77B","0,63%"
"03.06.2020","127.104,69","126.869,45","127.479,48","126.242,73","1,54B","0,96%"
"02.06.2020","125.899,73","125.577,59","126.555,73","124.744,56","1,97B","0,76%"
"01.06.2020","124.950,48","124.116,31","125.095,97","123.964,55","1,71B","1,65%"
"29.05.2020","122.917,85","122.217,29","122.939,75","121.721,33","1,98B","0,37%"
"28.05.2020","122.469,87","122.269,53","123.472,10","121.570,39","1,78B","0,69%"
"27.05.2020","121.636,58","120.395,70","122.264,50","120.395,70","1,60B","1,81%"
"22.05.2020","119.474,04","118.930,36","119.977,37","118.420,90","702,36M","0,24%"
"21.05.2020","119.190,26","118.502,44","119.849,39","118.502,44","1,11B","0,66%"
"20.05.2020","118.413,27","119.196,07","119.782,37","118.413,27","1,04B","-0,16%"
"18.05.2020","118.602,92","117.069,12","118.895,11","117.069,12","1,12B","2,39%"
"15.05.2020","115.829,47","115.847,10","117.356,28","115.829,47","835,37M","0,43%"
"14.05.2020","115.330,09","116.155,75","116.386,61","114.677,40","1,14B","-0,93%"
"13.05.2020","116.417,97","116.128,38","117.318,45","115.737,53","1,30B","0,26%"
"12.05.2020","116.118,35","114.336,20","116.260,61","114.035,06","1,44B","1,67%"
"11.05.2020","114.207,42","115.190,30","115.474,63","114.207,42","1,07B","-0,34%"
"08.05.2020","114.591,50","115.439,05","116.307,87","114.322,18","1,64B","-0,30%"
"07.05.2020","114.933,45","115.401,47","116.144,84","114.539,92","1,50B","-0,41%"
"06.05.2020","115.403,29","115.643,13","116.200,88","114.844,98","1,27B","-0,14%"
"05.05.2020","115.564,72","116.700,98","116.873,62","114.763,76","1,10B","-0,21%"
"04.05.2020","115.806,24","117.751,99","117.751,99","115.189,44","809,37M","-2,49%"
"30.04.2020","118.760,79","119.522,43","120.070,24","116.815,11","1,24B","-0,31%"
"29.04.2020","119.129,10","118.740,91","119.296,53","117.844,43","1,01B","0,80%"
"28.04.2020","118.181,91","119.155,57","119.594,18","117.983,96","1,11B","-0,66%"
