"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"30.07.2020","6,01","5,98","6,03","5,89","1,55M","0,67%"
"29.07.2020","5,97","5,90","6,17","5,73","5,79M","1,19%"
"28.07.2020","5,90","6,39","6,40","5,83","10,36M","-7,67%"
"27.07.2020","6,39","6,67","7,04","6,34","8,92M","-3,18%"
"24.07.2020","6,60","7,00","7,47","6,48","18,77M","-4,21%"
"23.07.2020","6,89","6,70","6,89","6,38","12,43M","9,89%"
"22.07.2020","6,27","5,78","6,27","5,78","9,15M","10,00%"
"21.07.2020","5,70","5,30","5,74","5,29","9,89M","9,20%"
"20.07.2020","5,22","4,80","5,22","4,79","6,10M","9,89%"
"17.07.2020","4,75","4,79","4,84","4,68","1,27M","-0,42%"
"16.07.2020","4,77","4,77","4,97","4,76","1,99M","0,63%"
"14.07.2020","4,74","4,95","5,14","4,73","4,35M","-2,27%"
"13.07.2020","4,85","4,44","4,85","4,44","3,47M","9,98%"
"10.07.2020","4,41","4,59","4,59","4,26","988,97K","-3,71%"
"09.07.2020","4,58","4,71","4,78","4,55","1,30M","-1,93%"
"08.07.2020","4,67","4,80","4,83","4,62","1,82M","-2,51%"
"07.07.2020","4,79","4,86","4,93","4,68","2,91M","-0,83%"
"06.07.2020","4,83","4,72","4,90","4,69","3,35M","3,65%"
"03.07.2020","4,66","4,58","4,76","4,55","3,21M","1,75%"
"02.07.2020","4,58","4,52","4,68","4,42","4,98M","2,00%"
"01.07.2020","4,49","4,35","4,69","4,27","9,58M","3,94%"
"30.06.2020","4,32","4,25","4,35","4,23","3,60M","1,65%"
"29.06.2020","4,25","4,17","4,25","4,16","1,52M","1,92%"
"26.06.2020","4,17","4,18","4,23","4,16","1,97M","0,00%"
"25.06.2020","4,17","4,21","4,21","4,15","1,03M","-0,95%"
"24.06.2020","4,21","4,24","4,26","4,20","1,20M","-0,24%"
"23.06.2020","4,22","4,28","4,30","4,22","1,76M","-0,71%"
"22.06.2020","4,25","4,23","4,27","4,20","2,41M","0,95%"
"19.06.2020","4,21","4,27","4,29","4,18","1,99M","-0,94%"
"18.06.2020","4,25","4,26","4,29","4,22","2,02M","0,47%"
"17.06.2020","4,23","4,22","4,27","4,19","2,52M","0,95%"
"16.06.2020","4,19","4,20","4,27","4,18","3,57M","0,24%"
"15.06.2020","4,18","4,15","4,23","4,13","1,15M","0,00%"
"12.06.2020","4,18","4,08","4,22","4,08","1,75M","0,48%"
"11.06.2020","4,16","4,17","4,23","4,05","1,27M","-0,72%"
"10.06.2020","4,19","4,14","4,23","4,13","2,56M","1,70%"
"09.06.2020","4,12","4,15","4,21","4,05","1,87M","-0,48%"
"08.06.2020","4,14","4,20","4,25","4,10","1,32M","-1,19%"
"05.06.2020","4,19","4,30","4,30","4,17","2,46M","-0,95%"
"04.06.2020","4,23","4,19","4,39","4,15","6,62M","0,71%"
"03.06.2020","4,20","4,22","4,33","4,13","3,97M","0,96%"
"02.06.2020","4,16","4,11","4,21","4,06","3,56M","1,46%"
"01.06.2020","4,10","4,03","4,13","4,03","1,75M","1,23%"
"29.05.2020","4,05","4,12","4,12","4,03","753,01K","-1,46%"
"28.05.2020","4,11","4,18","4,18","4,08","1,29M","-1,20%"
"27.05.2020","4,16","4,20","4,25","4,14","2,83M","0,97%"
"22.05.2020","4,12","4,10","4,17","4,04","1,48M","-0,24%"
"21.05.2020","4,13","4,23","4,29","4,08","1,63M","-2,36%"
"20.05.2020","4,23","4,22","4,39","4,14","4,84M","0,71%"
"18.05.2020","4,20","4,18","4,38","4,16","5,92M","2,19%"
"15.05.2020","4,11","3,94","4,26","3,94","7,66M","5,38%"
"14.05.2020","3,90","3,92","4,07","3,86","3,77M","-0,76%"
"13.05.2020","3,93","3,92","4,00","3,88","2,21M","0,26%"
"12.05.2020","3,92","3,93","3,96","3,88","1,16M","0,00%"
"11.05.2020","3,92","3,97","4,00","3,82","2,12M","1,82%"
"08.05.2020","3,85","3,83","4,13","3,75","5,47M","1,05%"
"07.05.2020","3,81","3,89","3,93","3,74","2,18M","3,25%"
