time,date,close,open,high,low
1271624400.0,19.04.2010,5.04,5.04,5.09,4.95
1271710800.0,20.04.2010,5.04,5.04,5.09,5.0
1271797200.0,21.04.2010,5.04,5.09,5.09,4.95
1271883600.0,22.04.2010,4.95,5.04,5.04,4.9
1272229200.0,26.04.2010,5.0,4.95,5.04,4.95
1272315600.0,27.04.2010,5.04,5.0,5.04,4.95
1272402000.0,28.04.2010,4.9,4.95,5.0,4.76
1272488400.0,29.04.2010,4.95,4.9,4.95,4.86
1272574800.0,30.04.2010,4.95,4.95,4.95,4.86
1272834000.0,03.05.2010,4.95,4.9,4.95,4.86
1272920400.0,04.05.2010,4.86,4.9,4.95,4.81
1273006800.0,05.05.2010,4.76,4.86,4.86,4.67
1273093200.0,06.05.2010,4.62,4.72,4.74,4.53
1273179600.0,07.05.2010,4.48,4.54,4.56,4.43
1273438800.0,10.05.2010,4.61,4.48,4.69,4.48
1273525200.0,11.05.2010,4.65,4.65,4.65,4.57
1273611600.0,12.05.2010,4.63,4.65,4.67,4.61
1273698000.0,13.05.2010,4.59,4.65,4.67,4.56
1273784400.0,14.05.2010,4.46,4.57,4.59,4.44
1274043600.0,17.05.2010,4.43,4.46,4.46,4.39
1274130000.0,18.05.2010,4.43,4.43,4.46,4.41
1274302800.0,20.05.2010,4.31,4.43,4.43,4.28
1274389200.0,21.05.2010,4.29,4.28,4.31,4.2
1274648400.0,24.05.2010,4.35,4.31,4.46,4.29
1274734800.0,25.05.2010,4.2,4.26,4.31,4.16
1274821200.0,26.05.2010,4.33,4.28,4.41,4.22
1274907600.0,27.05.2010,4.37,4.35,4.39,4.33
1274994000.0,28.05.2010,4.41,4.37,4.43,4.37
1275253200.0,31.05.2010,4.33,4.35,4.41,4.2
1275339600.0,01.06.2010,4.39,4.37,4.39,4.31
1275426000.0,02.06.2010,4.39,4.39,4.44,4.35
1275512400.0,03.06.2010,4.43,4.41,4.46,4.41
1275598800.0,04.06.2010,4.39,4.43,4.46,4.37
1275858000.0,07.06.2010,4.41,4.33,4.41,4.31
1275944400.0,08.06.2010,4.39,4.43,4.43,4.33
1276030800.0,09.06.2010,4.44,4.39,4.46,4.39
1276117200.0,10.06.2010,4.76,4.44,4.87,4.43
1276203600.0,11.06.2010,4.67,4.76,4.78,4.57
