"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"30.07.2020","26,82","26,42","27,50","25,54","157,32K","2,21%"
"29.07.2020","26,24","27,48","27,48","25,38","378,42K","-4,58%"
"28.07.2020","27,50","29,00","30,42","27,50","698,85K","-5,11%"
"27.07.2020","28,98","26,64","28,98","26,36","966,93K","9,94%"
"24.07.2020","26,36","26,50","27,00","25,86","283,22K","-0,53%"
"23.07.2020","26,50","26,30","27,02","25,50","331,74K","0,99%"
"22.07.2020","26,24","27,60","28,70","25,90","407,89K","-3,88%"
"21.07.2020","27,30","29,82","30,62","26,50","875,61K","-1,94%"
"20.07.2020","27,84","25,36","27,84","25,36","651,86K","9,95%"
"17.07.2020","25,32","24,70","26,00","24,26","391,05K","3,52%"
"16.07.2020","24,46","23,98","24,62","23,92","104,77K","2,26%"
"14.07.2020","23,92","24,06","24,30","23,54","75,60K","-0,58%"
"13.07.2020","24,06","23,14","24,36","22,96","135,98K","4,79%"
"10.07.2020","22,96","23,50","23,52","22,30","63,59K","-2,30%"
"09.07.2020","23,50","24,12","24,50","23,32","75,09K","-3,05%"
"08.07.2020","24,24","24,62","24,88","24,18","118,46K","-1,54%"
"07.07.2020","24,62","25,22","25,34","24,22","261,48K","-2,22%"
"06.07.2020","25,18","25,14","26,00","24,28","436,02K","0,72%"
"03.07.2020","25,00","26,58","26,68","24,72","513,95K","-5,94%"
"02.07.2020","26,58","26,40","28,20","26,00","1,33M","3,50%"
"01.07.2020","25,68","23,38","25,68","23,32","998,26K","9,93%"
"30.06.2020","23,36","23,30","23,50","23,14","68,56K","0,69%"
"29.06.2020","23,20","23,20","23,40","23,02","44,06K","0,00%"
"26.06.2020","23,20","23,36","23,60","23,06","65,22K","-0,68%"
"25.06.2020","23,36","23,66","23,68","23,22","45,89K","-1,27%"
"24.06.2020","23,66","23,68","23,72","23,34","75,73K","0,42%"
"23.06.2020","23,56","24,00","24,00","23,52","81,35K","-0,59%"
"22.06.2020","23,70","23,52","23,98","23,52","122,82K","0,77%"
"19.06.2020","23,52","24,02","24,20","23,36","116,01K","-2,00%"
"18.06.2020","24,00","24,00","24,34","23,60","126,40K","0,00%"
"17.06.2020","24,00","24,48","24,48","24,00","147,47K","-1,23%"
"16.06.2020","24,30","24,30","24,88","24,12","325,62K","0,83%"
"15.06.2020","24,10","23,84","25,46","23,62","396,43K","0,42%"
"12.06.2020","24,00","24,30","24,40","23,40","140,38K","-1,80%"
"11.06.2020","24,44","24,04","25,78","23,84","491,60K","1,83%"
"10.06.2020","24,00","23,96","24,36","23,60","215,10K","0,42%"
"09.06.2020","23,90","24,96","25,18","23,72","513,19K","-4,17%"
"08.06.2020","24,94","25,20","27,50","24,52","994,31K","-0,24%"
"05.06.2020","25,00","25,80","26,48","24,52","178,33K","-3,10%"
"04.06.2020","25,80","25,96","26,48","25,80","91,34K","-0,77%"
"03.06.2020","26,00","27,60","28,50","25,72","234,99K","-5,80%"
"02.06.2020","27,60","26,94","28,30","25,60","120,89K","2,22%"
"01.06.2020","27,00","26,40","31,36","25,76","283,35K","-5,33%"
"29.05.2020","28,52","28,94","31,00","28,52","112,56K","-9,97%"
"28.05.2020","31,68","31,80","35,00","31,68","219,79K","-10,00%"
"27.05.2020","35,20","39,20","41,50","35,20","168,91K","-9,97%"
"22.05.2020","39,10","36,56","39,10","35,70","177,97K","9,95%"
"21.05.2020","35,56","33,00","35,56","33,00","76,34K","9,96%"
"20.05.2020","32,34","32,12","32,34","29,50","174,83K","10,00%"
"18.05.2020","29,40","28,70","29,40","26,74","810,98K","9,95%"
"15.05.2020","26,74","26,00","26,74","24,70","559,11K","9,95%"
"14.05.2020","24,32","23,60","25,56","23,00","616,15K","3,14%"
"13.05.2020","23,58","20,84","23,58","20,84","620,97K","9,98%"
"12.05.2020","21,44","22,40","22,40","20,50","342,03K","-0,28%"
"11.05.2020","21,50","21,50","21,96","21,06","334,06K","2,67%"
"08.05.2020","20,94","20,30","21,70","20,30","429,60K","3,25%"
"07.05.2020","20,28","20,12","21,70","19,12","534,94K","1,81%"
"06.05.2020","19,92","18,50","19,92","18,19","426,28K","9,15%"
"05.05.2020","18,25","18,45","18,85","17,53","615,09K","0,39%"
"04.05.2020","18,18","17,30","18,49","17,30","670,84K","5,88%"
"30.04.2020","17,17","16,80","17,65","16,20","1,54M","2,14%"
"29.04.2020","16,81","15,42","16,81","14,80","789,98K","9,94%"
"28.04.2020","15,29","14,42","15,50","14,28","420,19K","7,45%"
"27.04.2020","14,23","14,05","14,37","14,05","76,92K","1,64%"
"24.04.2020","14,00","13,96","14,28","13,90","104,97K","0,36%"
"22.04.2020","13,95","13,83","13,99","13,80","69,81K","0,94%"
"21.04.2020","13,82","14,00","14,04","13,74","40,74K","-1,57%"
"20.04.2020","14,04","14,13","14,20","13,78","95,26K","-0,35%"
"17.04.2020","14,09","13,79","14,19","13,71","125,83K","2,85%"
"16.04.2020","13,70","14,25","14,26","13,40","153,27K","-3,99%"
"15.04.2020","14,27","14,16","14,85","13,55","397,09K","2,22%"
"14.04.2020","13,96","13,89","14,50","13,70","240,58K","1,68%"
"13.04.2020","13,73","13,79","14,00","13,46","86,22K","-0,51%"
"10.04.2020","13,80","14,00","14,43","13,51","208,02K","-1,43%"
