time,date,close,open,high,low
1433883600.0,10.06.2015,11.15,10.8,11.25,10.6
1433970000.0,11.06.2015,11.2,11.05,11.4,10.7
1434056400.0,12.06.2015,11.0,11.25,11.25,10.9
1434315600.0,15.06.2015,10.55,10.9,11.25,10.55
1434402000.0,16.06.2015,10.65,10.55,10.8,10.5
1434488400.0,17.06.2015,10.9,10.65,11.65,10.65
1434574800.0,18.06.2015,10.9,11.05,11.05,10.8
1434661200.0,19.06.2015,10.95,10.9,11.0,10.8
1434920400.0,22.06.2015,11.25,11.0,11.45,11.0
1435006800.0,23.06.2015,11.1,11.3,11.5,11.05
1435093200.0,24.06.2015,11.05,11.15,11.4,11.0
1435179600.0,25.06.2015,10.8,11.1,11.2,10.75
1435266000.0,26.06.2015,10.85,10.85,11.0,10.8
1435525200.0,29.06.2015,10.3,10.65,10.65,10.3
1435611600.0,30.06.2015,10.6,10.35,10.6,10.15
1435698000.0,01.07.2015,10.5,10.6,11.0,10.4
1435784400.0,02.07.2015,12.45,10.5,12.45,10.4
1435870800.0,03.07.2015,11.95,13.2,13.5,11.95
1436130000.0,06.07.2015,12.6,11.65,12.6,11.25
1436216400.0,07.07.2015,13.0,12.95,13.6,12.75
1436302800.0,08.07.2015,12.35,13.15,13.2,12.0
1436389200.0,09.07.2015,12.45,12.45,13.25,12.35
1436475600.0,10.07.2015,12.55,12.65,13.0,12.15
1436734800.0,13.07.2015,12.55,12.5,13.0,12.45
1436821200.0,14.07.2015,12.45,12.55,12.85,12.3
1436907600.0,15.07.2015,12.7,12.45,13.7,12.4
1436994000.0,16.07.2015,12.6,12.75,12.8,12.55
1437339600.0,20.07.2015,12.3,12.7,12.8,12.2
1437426000.0,21.07.2015,12.45,12.2,12.8,12.2
1437512400.0,22.07.2015,12.3,12.45,12.6,12.25
1437598800.0,23.07.2015,11.55,12.35,12.45,11.45
1437685200.0,24.07.2015,11.85,11.85,12.1,11.5
1437944400.0,27.07.2015,11.3,11.85,11.9,11.1
1438030800.0,28.07.2015,11.55,11.2,11.9,11.2
1438117200.0,29.07.2015,11.65,11.55,11.7,11.4
1438203600.0,30.07.2015,11.5,11.45,11.75,11.45
1438290000.0,31.07.2015,11.95,11.5,12.1,11.45
1438549200.0,03.08.2015,11.4,12.05,12.05,11.4
1438635600.0,04.08.2015,11.45,11.5,11.8,11.3
1438722000.0,05.08.2015,11.45,11.45,11.7,11.4
1438808400.0,06.08.2015,11.6,11.55,11.95,11.45
1438894800.0,07.08.2015,11.6,11.65,11.65,11.45
1439154000.0,10.08.2015,11.2,11.6,11.7,11.1
1439240400.0,11.08.2015,11.55,11.3,11.6,11.3
1439326800.0,12.08.2015,10.85,11.3,11.45,10.65
1439413200.0,13.08.2015,10.65,10.8,10.8,10.2
1439499600.0,14.08.2015,10.95,10.6,11.25,10.6
1439758800.0,17.08.2015,11.35,11.5,12.0,11.1
1439845200.0,18.08.2015,11.7,11.05,11.8,11.05
1439931600.0,19.08.2015,10.95,11.6,11.65,10.75
1440018000.0,20.08.2015,10.7,10.55,10.85,10.3
1440104400.0,21.08.2015,10.55,10.55,10.8,10.4
1440363600.0,24.08.2015,9.9,10.4,10.45,9.75
1440450000.0,25.08.2015,10.75,9.98,10.8,9.98
1440536400.0,26.08.2015,10.75,10.65,11.5,10.65
1440622800.0,27.08.2015,10.8,10.95,10.95,10.6
1440709200.0,28.08.2015,10.65,10.8,10.9,10.6
1440968400.0,31.08.2015,11.1,10.75,11.25,10.55
1441054800.0,01.09.2015,12.1,11.05,12.3,10.95
1441141200.0,02.09.2015,12.75,12.2,12.95,12.15
1441227600.0,03.09.2015,11.15,12.8,13.3,10.9
1441314000.0,04.09.2015,10.9,11.2,11.2,10.85
1441573200.0,07.09.2015,10.6,10.8,10.85,10.5
1441659600.0,08.09.2015,11.0,10.7,11.1,10.7
1441746000.0,09.09.2015,10.8,11.1,11.2,10.8
1441832400.0,10.09.2015,10.75,10.75,10.95,10.6
1441918800.0,11.09.2015,10.75,10.9,10.9,10.65
1442178000.0,14.09.2015,10.6,10.7,10.8,10.5
1442264400.0,15.09.2015,10.8,10.55,10.9,10.5
1442350800.0,16.09.2015,10.85,10.8,11.1,10.7
1442437200.0,17.09.2015,10.8,10.8,10.95,10.75
1442523600.0,18.09.2015,10.9,10.8,10.95,10.7
1442782800.0,21.09.2015,11.3,10.75,11.5,10.75
1442869200.0,22.09.2015,11.25,11.4,11.65,11.1
1442955600.0,23.09.2015,11.2,11.1,11.35,11.1
1443387600.0,28.09.2015,11.55,11.3,12.05,11.2
1443474000.0,29.09.2015,11.25,11.4,11.85,11.15
1443560400.0,30.09.2015,11.35,11.3,11.5,11.25
1443646800.0,01.10.2015,11.25,11.45,11.5,11.2
1443733200.0,02.10.2015,11.25,11.3,11.35,11.15
1443992400.0,05.10.2015,11.35,11.25,11.55,11.2
1444078800.0,06.10.2015,11.25,11.3,11.45,11.25
1444165200.0,07.10.2015,11.55,11.3,11.7,11.3
1444251600.0,08.10.2015,11.55,11.55,11.7,11.45
1444338000.0,09.10.2015,11.6,11.6,11.7,11.45
1444597200.0,12.10.2015,11.5,11.5,11.65,11.2
1444683600.0,13.10.2015,11.4,11.6,11.6,11.35
1444770000.0,14.10.2015,11.55,11.5,11.65,11.45
1444856400.0,15.10.2015,11.55,11.6,11.95,11.55
1444942800.0,16.10.2015,11.4,11.55,11.65,11.35
1445202000.0,19.10.2015,11.45,11.45,11.65,11.45
1445288400.0,20.10.2015,11.4,11.45,11.55,11.3
1445374800.0,21.10.2015,11.5,11.4,11.5,11.25
1445461200.0,22.10.2015,11.4,11.5,11.5,11.4
1445547600.0,23.10.2015,11.4,11.4,11.7,11.3
1445806800.0,26.10.2015,11.0,11.3,11.5,11.0
1445893200.0,27.10.2015,10.75,10.8,11.25,10.7
1445979600.0,28.10.2015,10.7,10.85,11.0,10.65
1446152400.0,30.10.2015,10.75,10.75,10.8,10.15
1446411600.0,02.11.2015,11.35,11.15,11.4,11.15
1446498000.0,03.11.2015,11.2,11.5,11.5,11.2
1446584400.0,04.11.2015,11.35,11.3,11.55,11.25
1446670800.0,05.11.2015,11.45,11.4,11.55,11.3
1446757200.0,06.11.2015,11.4,11.5,11.55,11.3
1447016400.0,09.11.2015,11.15,11.3,11.45,11.0
1447102800.0,10.11.2015,11.1,11.15,11.35,11.0
1447189200.0,11.11.2015,11.2,11.05,11.35,11.05
1447275600.0,12.11.2015,11.65,11.1,11.95,11.1
1447362000.0,13.11.2015,11.5,11.65,11.75,11.4
1447621200.0,16.11.2015,11.45,11.45,11.9,11.45
1447707600.0,17.11.2015,11.3,11.55,11.6,11.25
1447794000.0,18.11.2015,11.05,11.3,11.35,11.05
1447880400.0,19.11.2015,11.05,11.05,11.15,10.95
1447966800.0,20.11.2015,11.05,11.2,11.2,11.0
1448226000.0,23.11.2015,11.05,11.05,11.15,10.95
1448312400.0,24.11.2015,10.2,11.1,11.1,10.1
1448398800.0,25.11.2015,10.3,10.3,10.5,10.2
1448485200.0,26.11.2015,10.2,10.3,10.55,10.05
1448571600.0,27.11.2015,10.1,10.2,10.45,9.85
1448830800.0,30.11.2015,10.18,10.15,10.3,10.1
1448917200.0,01.12.2015,10.26,10.2,10.33,10.13
1449003600.0,02.12.2015,10.22,10.26,10.35,10.19
1449090000.0,03.12.2015,10.19,10.27,10.33,10.18
1449176400.0,04.12.2015,9.94,10.2,10.2,9.9
1449435600.0,07.12.2015,9.82,9.98,10.0,9.76
1449522000.0,08.12.2015,9.69,9.82,9.9,9.4
1449608400.0,09.12.2015,9.6,9.82,9.82,9.4
