"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"04.08.2020","7,720","7,750","7,900","7,670","31,60M","1,05%"
"30.07.2020","7,640","7,890","7,890","7,640","20,91M","-3,17%"
"29.07.2020","7,890","8,060","8,120","7,870","41,49M","-2,11%"
"28.07.2020","8,060","8,470","8,530","8,060","53,17M","-4,73%"
"27.07.2020","8,460","8,410","8,510","8,390","38,18M","1,08%"
"24.07.2020","8,370","8,310","8,380","8,260","24,89M","0,12%"
"23.07.2020","8,360","8,400","8,430","8,330","21,82M","0,24%"
"22.07.2020","8,340","8,450","8,470","8,330","39,13M","-0,83%"
"21.07.2020","8,410","8,620","8,670","8,380","46,79M","-2,10%"
"20.07.2020","8,590","8,700","8,730","8,590","27,95M","-1,26%"
"17.07.2020","8,700","8,750","8,830","8,680","39,15M","-3,12%"
"16.07.2020","8,980","9,110","9,150","8,940","61,73M","1,24%"
"14.07.2020","8,870","8,900","9,020","8,820","94,43M","-0,34%"
"13.07.2020","8,900","8,750","8,900","8,700","71,07M","3,49%"
"10.07.2020","8,600","8,680","8,710","8,510","65,57M","-0,92%"
"09.07.2020","8,680","8,700","8,880","8,640","115,10M","0,58%"
"08.07.2020","8,630","8,550","8,750","8,510","79,27M","1,17%"
"07.07.2020","8,530","8,660","8,670","8,500","47,49M","-1,39%"
"06.07.2020","8,650","8,660","8,700","8,600","35,03M","1,41%"
"03.07.2020","8,530","8,770","8,810","8,470","68,24M","-2,40%"
"02.07.2020","8,740","8,460","8,760","8,460","67,61M","4,05%"
"01.07.2020","8,400","8,640","8,670","8,390","58,70M","-2,10%"
"30.06.2020","8,580","8,530","8,620","8,520","57,44M","0,94%"
"29.06.2020","8,500","8,500","8,530","8,470","22,69M","0,24%"
"26.06.2020","8,480","8,530","8,570","8,470","31,26M","0,12%"
"25.06.2020","8,470","8,380","8,540","8,350","45,54M","1,19%"
"24.06.2020","8,370","8,450","8,530","8,360","45,12M","-0,95%"
"23.06.2020","8,450","8,520","8,570","8,430","37,71M","0,00%"
"22.06.2020","8,450","8,410","8,530","8,340","57,36M","1,56%"
"19.06.2020","8,320","8,410","8,420","8,240","58,69M","-0,24%"
"18.06.2020","8,340","8,260","8,490","8,220","69,75M","0,97%"
"17.06.2020","8,260","8,380","8,430","8,260","21,05M","-1,43%"
