time,date,close,open,high,low
1272920400.0,04.05.2010,2.1,2.15,2.16,2.09
1273006800.0,05.05.2010,2.06,2.1,2.12,2.05
1273093200.0,06.05.2010,2.09,2.06,2.1,2.05
1273179600.0,07.05.2010,2.04,2.05,2.07,2.03
1273438800.0,10.05.2010,2.15,2.12,2.17,2.1
1273525200.0,11.05.2010,2.13,2.13,2.15,2.11
1273611600.0,12.05.2010,2.16,2.12,2.16,2.12
1273698000.0,13.05.2010,2.09,2.17,2.17,2.07
1273784400.0,14.05.2010,1.97,2.08,2.08,1.95
1274043600.0,17.05.2010,1.96,1.95,1.97,1.93
1274130000.0,18.05.2010,1.99,1.98,2.0,1.97
1274302800.0,20.05.2010,1.93,1.96,1.98,1.91
1274389200.0,21.05.2010,1.91,1.93,1.93,1.87
1274648400.0,24.05.2010,1.94,1.92,1.94,1.9
1274734800.0,25.05.2010,1.86,1.9,1.9,1.84
1274821200.0,26.05.2010,1.92,1.88,1.93,1.87
1274907600.0,27.05.2010,1.95,1.91,1.96,1.9
1274994000.0,28.05.2010,1.95,1.97,1.99,1.93
1275253200.0,31.05.2010,1.92,1.92,1.93,1.89
1275339600.0,01.06.2010,1.9,1.91,1.92,1.86
1275426000.0,02.06.2010,1.92,1.89,1.92,1.88
1275512400.0,03.06.2010,1.93,1.94,1.96,1.92
1275598800.0,04.06.2010,1.88,1.93,1.93,1.87
1275858000.0,07.06.2010,1.87,1.84,1.87,1.83
1275944400.0,08.06.2010,1.85,1.87,1.89,1.83
1276030800.0,09.06.2010,1.84,1.86,1.86,1.82
1276117200.0,10.06.2010,1.85,1.84,1.85,1.82
1276203600.0,11.06.2010,1.87,1.86,1.9,1.85
1276462800.0,14.06.2010,1.91,1.89,1.93,1.89
1276549200.0,15.06.2010,1.93,1.91,1.93,1.9
1276635600.0,16.06.2010,1.91,1.94,1.94,1.9
1276722000.0,17.06.2010,1.91,1.91,1.93,1.89
1276808400.0,18.06.2010,1.9,1.91,1.92,1.89
1277067600.0,21.06.2010,1.91,1.92,1.93,1.89
1277154000.0,22.06.2010,1.88,1.89,1.91,1.87
1277240400.0,23.06.2010,1.85,1.87,1.89,1.84
1277326800.0,24.06.2010,1.86,1.85,1.87,1.83
1277413200.0,25.06.2010,1.9,1.85,1.9,1.85
1277672400.0,28.06.2010,1.9,1.9,1.92,1.89
1277758800.0,29.06.2010,1.86,1.89,1.89,1.85
1277845200.0,30.06.2010,1.86,1.86,1.88,1.85
1277931600.0,01.07.2010,1.86,1.84,1.86,1.83
1278018000.0,02.07.2010,1.85,1.87,1.88,1.83
1278277200.0,05.07.2010,1.83,1.85,1.86,1.82
1278363600.0,06.07.2010,1.88,1.84,1.88,1.83
1278450000.0,07.07.2010,1.86,1.87,1.87,1.85
1278536400.0,08.07.2010,1.86,1.88,1.88,1.86
1278622800.0,09.07.2010,1.86,1.87,1.88,1.85
1278882000.0,12.07.2010,1.89,1.86,1.9,1.85
1278968400.0,13.07.2010,1.9,1.89,1.9,1.88
1279054800.0,14.07.2010,1.88,1.91,1.91,1.87
1285621200.0,28.09.2010,2.35,2.33,2.37,2.31
1285707600.0,29.09.2010,2.37,2.35,2.4,2.33
1285794000.0,30.09.2010,2.37,2.35,2.37,2.33
1285880400.0,01.10.2010,2.44,2.37,2.44,2.37
1286139600.0,04.10.2010,2.51,2.44,2.53,2.44
1286226000.0,05.10.2010,2.53,2.51,2.53,2.46
1286312400.0,06.10.2010,2.49,2.53,2.56,2.46
1286398800.0,07.10.2010,2.56,2.51,2.56,2.49
1286485200.0,08.10.2010,2.51,2.53,2.56,2.46
1286744400.0,11.10.2010,2.65,2.53,2.65,2.53
1286830800.0,12.10.2010,2.67,2.63,2.69,2.6
1286917200.0,13.10.2010,2.67,2.69,2.69,2.65
1287003600.0,14.10.2010,2.6,2.67,2.72,2.58
1287090000.0,15.10.2010,2.6,2.58,2.63,2.53
1287349200.0,18.10.2010,2.58,2.6,2.6,2.53
1301950800.0,05.04.2011,2.57,2.57,2.62,2.56
1302037200.0,06.04.2011,2.58,2.59,2.61,2.57
1302123600.0,07.04.2011,2.6,2.58,2.6,2.54
1302210000.0,08.04.2011,2.59,2.6,2.61,2.57
1302469200.0,11.04.2011,2.62,2.59,2.63,2.58
1302555600.0,12.04.2011,2.6,2.61,2.64,2.6
1302642000.0,13.04.2011,2.58,2.61,2.62,2.57
1302728400.0,14.04.2011,2.59,2.58,2.59,2.56
1302814800.0,15.04.2011,2.6,2.59,2.6,2.58
1303074000.0,18.04.2011,2.54,2.6,2.63,2.54
1303160400.0,19.04.2011,2.61,2.57,2.62,2.57
1303246800.0,20.04.2011,2.64,2.63,2.65,2.62
1303333200.0,21.04.2011,2.64,2.65,2.66,2.63
1303419600.0,22.04.2011,2.69,2.65,2.69,2.63
1303678800.0,25.04.2011,2.71,2.69,2.72,2.69
1303765200.0,26.04.2011,2.69,2.71,2.72,2.68
1303851600.0,27.04.2011,2.69,2.69,2.7,2.67
1303938000.0,28.04.2011,2.74,2.7,2.74,2.68
1304024400.0,29.04.2011,2.8,2.74,2.81,2.71
1304283600.0,02.05.2011,2.8,2.82,2.83,2.79
1304370000.0,03.05.2011,2.79,2.8,2.8,2.74
1304456400.0,04.05.2011,2.79,2.79,2.82,2.78
1304542800.0,05.05.2011,2.75,2.79,2.8,2.74
1304629200.0,06.05.2011,2.71,2.75,2.76,2.69
1304888400.0,09.05.2011,2.67,2.76,2.76,2.66
1304974800.0,10.05.2011,2.64,2.68,2.68,2.62
1305061200.0,11.05.2011,2.6,2.64,2.65,2.58
1305147600.0,12.05.2011,2.65,2.57,2.65,2.57
1305234000.0,13.05.2011,2.6,2.65,2.65,2.58
1305493200.0,16.05.2011,2.63,2.58,2.63,2.55
1305579600.0,17.05.2011,2.6,2.64,2.64,2.58
1305666000.0,18.05.2011,2.52,2.64,2.64,2.52
1305838800.0,20.05.2011,2.55,2.52,2.56,2.5
