time,date,close,open,high,low
968101200.0,05.09.2000,131.19,132.81,133.31,130.81
968187600.0,06.09.2000,131.44,130.88,134.88,130.38
968274000.0,07.09.2000,133.37,131.88,134.5,131.88
968360400.0,08.09.2000,129.5,132.5,132.94,129.38
968619600.0,11.09.2000,124.5,127.88,128.25,123.62
968706000.0,12.09.2000,125.0,124.81,126.88,124.06
968792400.0,13.09.2000,127.69,123.12,128.81,122.75
968878800.0,14.09.2000,126.88,128.0,129.19,126.31
968965200.0,15.09.2000,125.0,126.81,127.25,124.75
969224400.0,18.09.2000,123.25,125.25,126.0,123.06
969310800.0,19.09.2000,124.94,122.75,126.25,122.56
969397200.0,20.09.2000,124.75,124.69,126.56,123.5
969483600.0,21.09.2000,121.5,124.19,126.69,120.0
969570000.0,22.09.2000,123.88,123.0,124.31,121.31
969829200.0,25.09.2000,123.0,124.5,126.62,121.0
969915600.0,26.09.2000,119.12,120.0,121.88,118.38
970002000.0,27.09.2000,118.0,120.06,120.31,115.5
970088400.0,28.09.2000,115.25,117.38,118.88,115.0
970174800.0,29.09.2000,112.62,115.5,116.94,110.25
970434000.0,02.10.2000,117.81,112.62,119.62,112.62
970520400.0,03.10.2000,110.56,118.88,119.38,110.0
970606800.0,04.10.2000,114.38,110.38,114.88,108.56
970693200.0,05.10.2000,113.19,113.81,114.56,111.56
970779600.0,06.10.2000,116.0,114.0,116.12,112.75
971038800.0,09.10.2000,117.94,115.94,119.38,114.31
971125200.0,10.10.2000,114.88,116.62,117.12,112.44
971211600.0,11.10.2000,112.0,111.88,112.94,107.5
971298000.0,12.10.2000,103.12,114.25,114.38,103.12
971384400.0,13.10.2000,109.06,104.19,110.44,104.19
971643600.0,16.10.2000,111.12,111.5,113.12,108.56
971730000.0,17.10.2000,113.0,111.94,113.88,108.56
971816400.0,18.10.2000,95.44,96.75,99.12,90.25
971902800.0,19.10.2000,96.44,98.0,98.5,92.69
971989200.0,20.10.2000,94.75,95.12,97.12,94.19
972248400.0,23.10.2000,92.88,94.94,95.0,91.06
972334800.0,24.10.2000,91.44,93.0,94.38,90.19
972421200.0,25.10.2000,87.56,90.5,90.94,86.94
972507600.0,26.10.2000,92.75,88.0,92.88,87.62
972594000.0,27.10.2000,93.69,93.0,93.69,91.0
972853200.0,30.10.2000,93.31,93.5,93.75,90.31
972939600.0,31.10.2000,98.5,93.75,99.12,93.75
973026000.0,01.11.2000,98.56,98.44,99.88,97.25
973112400.0,02.11.2000,101.94,99.0,102.31,98.5
973198800.0,03.11.2000,100.12,102.5,102.62,99.38
973458000.0,06.11.2000,100.31,99.88,102.38,99.44
973544400.0,07.11.2000,102.31,101.12,103.5,100.69
973630800.0,08.11.2000,100.0,103.62,103.75,99.25
973717200.0,09.11.2000,99.44,96.75,100.0,95.69
973803600.0,10.11.2000,93.0,98.0,98.38,93.0
974062800.0,13.11.2000,97.44,91.81,99.44,91.5
974149200.0,14.11.2000,99.5,99.25,99.88,98.5
974235600.0,15.11.2000,99.38,99.5,100.06,97.62
974322000.0,16.11.2000,98.25,99.25,99.69,98.25
974408400.0,17.11.2000,101.94,98.31,102.5,98.25
974667600.0,20.11.2000,103.25,101.5,103.25,100.88
974754000.0,21.11.2000,98.5,103.25,104.38,98.5
974840400.0,22.11.2000,98.5,98.5,100.81,98.31
975013200.0,24.11.2000,99.94,99.38,101.75,99.25
975272400.0,27.11.2000,98.44,100.44,102.0,98.44
975358800.0,28.11.2000,97.88,98.75,100.75,97.38
975445200.0,29.11.2000,99.81,97.75,99.94,96.69
975531600.0,30.11.2000,93.5,98.0,98.0,92.25
975618000.0,01.12.2000,95.62,94.44,99.31,94.38
975877200.0,04.12.2000,98.38,96.0,99.19,95.75
975963600.0,05.12.2000,103.38,100.44,104.75,99.62
976050000.0,06.12.2000,96.75,101.75,101.81,94.81
976136400.0,07.12.2000,95.38,95.06,95.94,93.12
976222800.0,08.12.2000,97.0,98.0,99.0,95.75
976482000.0,11.12.2000,95.0,96.5,98.25,93.75
976568400.0,12.12.2000,93.88,95.25,96.12,92.5
976654800.0,13.12.2000,91.25,94.88,96.62,90.69
976741200.0,14.12.2000,92.44,92.0,93.69,91.81
976827600.0,15.12.2000,87.81,90.0,90.69,87.31
977086800.0,18.12.2000,90.5,88.38,90.5,88.38
977173200.0,19.12.2000,90.12,90.19,94.44,89.81
977259600.0,20.12.2000,86.0,85.88,88.0,84.81
977346000.0,21.12.2000,81.56,85.5,87.94,80.06
977432400.0,22.12.2000,89.0,84.5,89.38,84.5
977778000.0,26.12.2000,84.81,89.0,89.56,84.25
977864400.0,27.12.2000,84.69,84.75,88.12,83.56
977950800.0,28.12.2000,85.25,83.5,88.19,82.12
978037200.0,29.12.2000,85.0,86.94,86.94,84.25
978382800.0,02.01.2001,84.81,84.5,87.5,84.12
978469200.0,03.01.2001,94.62,83.75,95.0,83.75
978555600.0,04.01.2001,93.19,94.75,99.75,92.69
978642000.0,05.01.2001,94.0,93.94,94.69,91.0
978901200.0,08.01.2001,93.56,93.5,93.94,91.56
978987600.0,09.01.2001,92.56,94.44,95.75,91.44
979074000.0,10.01.2001,93.44,92.5,94.94,91.69
979160400.0,11.01.2001,93.69,92.94,94.25,91.25
979246800.0,12.01.2001,93.81,93.69,96.44,92.38
979592400.0,16.01.2001,92.75,93.75,94.0,91.81
979678800.0,17.01.2001,96.69,95.38,97.75,94.31
979765200.0,18.01.2001,108.31,104.38,110.0,103.5
979851600.0,19.01.2001,111.25,107.5,113.94,107.25
980110800.0,22.01.2001,108.56,109.5,109.94,108.19
980197200.0,23.01.2001,109.06,109.56,109.94,107.62
980283600.0,24.01.2001,110.44,109.06,111.44,108.94
980370000.0,25.01.2001,110.75,110.12,111.12,109.44
980456400.0,26.01.2001,114.19,109.62,115.25,109.19
980715600.0,29.01.2001,114.98,112.5,115.5,112.47
980802000.0,30.01.2001,116.61,115.0,116.75,113.4
980888400.0,31.01.2001,112.0,115.75,116.75,112.0
980974800.0,01.02.2001,114.05,112.4,114.34,111.2
981061200.0,02.02.2001,110.27,112.75,113.99,109.6
981320400.0,05.02.2001,112.22,109.4,112.6,109.3
981406800.0,06.02.2001,114.19,112.23,115.69,111.2
981493200.0,07.02.2001,116.91,113.4,117.6,112.67
981579600.0,08.02.2001,114.1,116.91,118.2,114.03
981666000.0,09.02.2001,112.0,114.03,114.99,111.0
981925200.0,12.02.2001,114.9,110.55,115.72,110.3
982011600.0,13.02.2001,113.75,114.15,117.38,113.07
982098000.0,14.02.2001,115.1,113.75,116.17,112.5
982184400.0,15.02.2001,116.78,116.8,118.64,116.38
982270800.0,16.02.2001,115.0,114.55,115.75,113.94
982616400.0,20.02.2001,111.5,114.55,115.6,110.78
982702800.0,21.02.2001,107.51,109.55,111.5,107.29
982789200.0,22.02.2001,108.9,106.5,110.9,103.38
982875600.0,23.02.2001,104.0,107.5,107.5,100.25
983134800.0,26.02.2001,105.3,105.8,105.8,101.83
983221200.0,27.02.2001,102.59,104.9,106.87,102.56
983307600.0,28.02.2001,99.9,102.95,103.54,99.1
983394000.0,01.03.2001,106.05,99.3,106.4,97.5
983480400.0,02.03.2001,102.3,104.0,107.65,100.94
983739600.0,05.03.2001,104.91,102.81,105.6,102.64
983826000.0,06.03.2001,106.0,106.25,108.4,105.25
983912400.0,07.03.2001,107.55,107.45,108.25,105.66
983998800.0,08.03.2001,106.47,107.17,107.34,105.37
984085200.0,09.03.2001,99.29,105.0,105.01,97.91
984344400.0,12.03.2001,95.49,97.9,98.4,95.02
984430800.0,13.03.2001,98.39,95.1,98.44,94.2
984517200.0,14.03.2001,94.96,95.4,98.9,93.34
984603600.0,15.03.2001,95.56,96.0,97.87,95.17
984690000.0,16.03.2001,90.1,93.9,93.94,88.2
984949200.0,19.03.2001,92.6,91.0,92.8,89.2
985035600.0,20.03.2001,88.3,91.6,92.03,88.1
985122000.0,21.03.2001,89.08,88.45,91.6,87.75
985208400.0,22.03.2001,89.1,89.12,91.0,87.65
985294800.0,23.03.2001,93.51,93.5,94.99,90.29
985554000.0,26.03.2001,95.4,95.25,95.66,93.75
985640400.0,27.03.2001,99.5,94.0,100.0,93.97
985726800.0,28.03.2001,94.41,97.9,98.45,94.25
985813200.0,29.03.2001,95.04,94.46,97.07,94.26
985899600.0,30.03.2001,96.18,96.5,97.56,95.14
986158800.0,02.04.2001,94.66,97.45,98.1,93.58
986245200.0,03.04.2001,90.39,94.6,94.65,90.1
986331600.0,04.04.2001,92.0,90.45,94.05,90.05
986418000.0,05.04.2001,98.21,95.8,100.0,95.51
986504400.0,06.04.2001,97.95,98.0,100.0,96.4
986763600.0,09.04.2001,96.0,98.5,98.74,93.8
986850000.0,10.04.2001,99.05,97.0,99.9,96.56
986936400.0,11.04.2001,97.43,101.5,101.94,95.8
987022800.0,12.04.2001,96.2,96.4,97.5,95.15
987368400.0,16.04.2001,96.75,96.2,99.89,95.2
987454800.0,17.04.2001,99.7,97.0,99.88,97.0
987541200.0,18.04.2001,106.5,103.0,110.0,102.3
987627600.0,19.04.2001,114.47,112.0,115.9,110.45
987714000.0,20.04.2001,114.83,114.35,116.4,113.75
987973200.0,23.04.2001,112.0,114.01,114.05,111.68
988059600.0,24.04.2001,112.67,113.4,114.75,112.3
988146000.0,25.04.2001,114.85,112.0,114.85,111.99
988232400.0,26.04.2001,113.74,114.95,116.7,113.68
988318800.0,27.04.2001,116.2,116.8,116.9,114.55
988578000.0,30.04.2001,115.14,116.4,118.05,114.72
988664400.0,01.05.2001,118.51,115.85,118.65,114.9
988750800.0,02.05.2001,115.4,118.3,118.95,113.74
988837200.0,03.05.2001,113.7,114.6,115.1,112.35
988923600.0,04.05.2001,115.86,112.0,115.86,111.2
989182800.0,07.05.2001,115.9,116.2,117.25,115.0
989269200.0,08.05.2001,117.7,117.25,117.75,115.5
989355600.0,09.05.2001,116.98,116.2,118.18,115.3
989442000.0,10.05.2001,115.2,118.5,118.9,115.2
989528400.0,11.05.2001,111.81,113.75,114.15,110.96
989787600.0,14.05.2001,112.56,111.2,113.18,111.0
989874000.0,15.05.2001,113.58,113.5,114.15,112.5
989960400.0,16.05.2001,115.8,112.5,115.8,112.2
990046800.0,17.05.2001,115.07,115.8,117.09,115.05
