"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"30.07.2020","16,17","16,65","16,68","16,17","4,60M","-2,88%"
"29.07.2020","16,65","16,99","17,06","16,45","7,62M","-1,48%"
"28.07.2020","16,90","17,46","17,50","16,82","8,59M","-3,26%"
"27.07.2020","17,47","17,53","17,62","17,45","3,03M","0,11%"
"24.07.2020","17,45","17,48","17,54","17,30","3,77M","-0,74%"
"23.07.2020","17,58","17,48","17,69","17,43","4,06M","1,03%"
"22.07.2020","17,40","17,51","17,64","17,40","4,58M","-0,40%"
"21.07.2020","17,47","17,76","17,92","17,33","11,86M","-0,74%"
"20.07.2020","17,60","17,64","17,73","17,55","5,09M","-0,17%"
"17.07.2020","17,63","17,66","17,66","17,48","5,32M","0,06%"
"16.07.2020","17,62","17,60","17,68","17,53","7,02M","0,97%"
"14.07.2020","17,45","17,61","17,61","17,29","6,61M","-1,08%"
"13.07.2020","17,64","17,40","17,67","17,26","7,17M","2,92%"
"10.07.2020","17,14","17,26","17,37","16,92","8,58M","-1,49%"
"09.07.2020","17,40","18,00","18,11","17,36","9,38M","-2,74%"
"08.07.2020","17,89","18,05","18,20","17,89","8,81M","-0,67%"
"07.07.2020","18,01","17,72","18,08","17,60","12,73M","1,64%"
"06.07.2020","17,72","17,60","17,77","17,59","6,47M","1,55%"
"03.07.2020","17,45","17,80","17,82","17,43","8,00M","-1,80%"
"02.07.2020","17,77","17,60","17,88","17,58","9,11M","1,43%"
"01.07.2020","17,52","18,14","18,25","17,51","11,54M","-2,67%"
"30.06.2020","18,00","17,76","18,17","17,64","14,13M","1,47%"
"29.06.2020","17,74","17,24","17,75","17,24","7,35M","1,84%"
"26.06.2020","17,42","17,40","17,49","17,27","4,33M","0,93%"
"25.06.2020","17,26","17,09","17,29","16,91","4,35M","0,94%"
"24.06.2020","17,10","17,47","17,50","17,10","4,75M","-2,23%"
"23.06.2020","17,49","17,50","17,66","17,45","5,22M","0,17%"
"22.06.2020","17,46","17,37","17,71","17,36","11,30M","1,16%"
"19.06.2020","17,26","17,12","17,42","17,03","11,34M","1,35%"
"18.06.2020","17,03","17,08","17,14","16,91","6,22M","-0,29%"
"17.06.2020","17,08","17,42","17,50","17,05","6,87M","-1,90%"
"16.06.2020","17,41","17,45","17,59","17,32","6,57M","0,81%"
"15.06.2020","17,27","17,13","17,34","16,76","8,98M","0,52%"
"12.06.2020","17,18","16,83","17,32","16,65","6,22M","1,36%"
"11.06.2020","16,95","17,19","17,21","16,85","5,45M","-1,45%"
"10.06.2020","17,20","17,58","17,65","17,20","8,24M","-1,71%"
"09.06.2020","17,50","18,00","18,10","17,50","6,58M","-2,56%"
"08.06.2020","17,96","17,86","18,32","17,66","9,10M","0,62%"
"05.06.2020","17,85","17,58","17,85","17,29","9,06M","1,54%"
"04.06.2020","17,58","17,85","17,89","17,46","5,80M","-1,35%"
"03.06.2020","17,82","17,70","17,86","17,55","6,10M","2,41%"
"02.06.2020","17,40","16,84","17,40","16,82","10,96M","4,00%"
"01.06.2020","16,73","16,23","16,90","16,23","6,93M","3,66%"
"29.05.2020","16,14","16,58","17,00","16,14","13,14M","-3,12%"
"28.05.2020","16,66","15,76","16,69","15,76","14,72M","6,11%"
"27.05.2020","15,70","15,70","15,97","15,58","11,90M","2,95%"
"22.05.2020","15,25","15,15","15,29","15,06","7,80M","0,66%"
"21.05.2020","15,15","15,09","15,31","15,06","6,58M","0,46%"
"20.05.2020","15,08","15,20","15,33","15,08","7,39M","-0,26%"
"18.05.2020","15,12","15,07","15,26","15,00","5,53M","1,48%"
"15.05.2020","14,90","15,10","15,12","14,90","3,99M","-1,06%"
"14.05.2020","15,06","15,10","15,11","14,84","6,24M","-0,73%"
"13.05.2020","15,17","15,26","15,28","15,15","5,75M","-0,72%"
"12.05.2020","15,28","14,94","15,29","14,86","6,72M","2,55%"
"11.05.2020","14,90","15,02","15,07","14,62","5,51M","-0,47%"
"08.05.2020","14,97","14,82","15,05","14,80","6,73M","1,56%"
"07.05.2020","14,74","14,69","14,82","14,46","5,14M","0,34%"
"06.05.2020","14,69","14,91","14,92","14,65","6,17M","-1,34%"
"05.05.2020","14,89","15,03","15,10","14,85","5,06M","-0,20%"
"04.05.2020","14,92","15,16","15,17","14,76","6,30M","-2,74%"
"30.04.2020","15,34","15,20","15,55","15,10","13,68M","1,66%"
"29.04.2020","15,09","14,90","15,09","14,86","6,81M","1,96%"
"28.04.2020","14,80","14,96","15,15","14,80","11,08M","-0,74%"
"27.04.2020","14,91","14,87","14,93","14,70","9,66M","1,71%"
"24.04.2020","14,66","14,66","14,85","14,57","8,44M","-0,68%"
"22.04.2020","14,76","14,68","14,94","14,59","6,26M","0,54%"
"21.04.2020","14,68","14,85","14,85","14,53","4,47M","-1,48%"
"20.04.2020","14,90","15,10","15,16","14,87","5,48M","-0,80%"
"17.04.2020","15,02","15,10","15,19","14,76","5,86M","2,25%"
"16.04.2020","14,69","15,18","15,29","14,69","6,32M","-2,26%"
"15.04.2020","15,03","16,16","16,19","15,03","6,07M","-6,88%"
"14.04.2020","16,14","15,20","16,14","15,20","7,17M","6,75%"
"13.04.2020","15,12","15,00","15,41","14,84","3,54M","-0,53%"
"10.04.2020","15,20","15,26","15,40","15,03","2,82M","-0,33%"
"09.04.2020","15,25","14,90","15,27","14,75","6,82M","2,83%"
"08.04.2020","14,83","14,52","14,83","14,50","4,73M","2,42%"
"07.04.2020","14,48","14,26","15,08","14,26","8,42M","2,04%"
"06.04.2020","14,19","13,86","14,19","13,74","5,65M","5,26%"
"03.04.2020","13,48","13,07","13,57","12,98","11,06M","3,32%"
"02.04.2020","13,05","13,10","13,11","12,92","5,83M","0,99%"
"01.04.2020","12,92","13,10","13,28","12,90","6,43M","-2,31%"
"31.03.2020","13,22","13,14","13,42","13,06","5,64M","1,36%"
"30.03.2020","13,05","13,25","13,28","12,98","4,34M","-3,07%"
"27.03.2020","13,46","14,24","14,44","13,46","5,01M","-5,14%"
"26.03.2020","14,19","13,58","14,57","13,47","4,87M","4,19%"
"25.03.2020","13,62","13,76","14,16","13,60","3,85M","1,11%"
"24.03.2020","13,47","13,49","13,69","13,15","4,38M","5,32%"
"23.03.2020","12,79","12,97","13,69","12,38","3,78M","-3,54%"
"20.03.2020","13,26","14,02","14,23","13,26","4,44M","-4,47%"
"19.03.2020","13,88","13,48","14,00","13,28","3,19M","2,51%"
"18.03.2020","13,54","13,46","13,80","13,22","4,13M","-0,88%"
"17.03.2020","13,66","14,40","14,40","13,02","4,32M","-4,54%"
"16.03.2020","14,31","15,10","15,10","14,21","3,89M","-9,32%"
"13.03.2020","15,78","14,82","15,78","14,82","3,47M","6,98%"
