time,date,close,open,high,low
1272834000.0,03.05.2010,3.56,3.59,3.59,3.56
1272920400.0,04.05.2010,3.51,3.57,3.59,3.51
1273006800.0,05.05.2010,3.46,3.51,3.54,3.44
1273093200.0,06.05.2010,3.38,3.44,3.47,3.35
1273179600.0,07.05.2010,3.16,3.28,3.32,3.16
1273438800.0,10.05.2010,3.4,3.25,3.43,3.24
1273525200.0,11.05.2010,3.43,3.4,3.49,3.4
1273611600.0,12.05.2010,3.51,3.43,3.56,3.4
1273698000.0,13.05.2010,3.49,3.56,3.57,3.47
1273784400.0,14.05.2010,3.35,3.47,3.5,3.35
1274043600.0,17.05.2010,3.25,3.35,3.38,3.22
1274130000.0,18.05.2010,3.19,3.27,3.28,3.16
1274302800.0,20.05.2010,3.06,3.16,3.16,3.02
1274389200.0,21.05.2010,2.97,3.05,3.06,2.92
1274648400.0,24.05.2010,3.05,2.97,3.05,2.84
1274734800.0,25.05.2010,2.96,2.96,3.0,2.89
1274821200.0,26.05.2010,3.06,2.99,3.08,2.96
1274907600.0,27.05.2010,3.15,3.08,3.16,3.08
1274994000.0,28.05.2010,3.24,3.18,3.25,3.12
1275253200.0,31.05.2010,3.21,3.19,3.22,3.16
1275339600.0,01.06.2010,3.18,3.19,3.21,3.11
1275426000.0,02.06.2010,3.21,3.16,3.22,3.14
1275512400.0,03.06.2010,3.25,3.27,3.32,3.24
1275858000.0,07.06.2010,3.15,3.07,3.15,2.95
1275944400.0,08.06.2010,3.22,3.18,3.25,3.17
1276030800.0,09.06.2010,3.25,3.23,3.3,3.23
1276117200.0,10.06.2010,3.27,3.25,3.28,3.2
1276203600.0,11.06.2010,3.25,3.28,3.28,3.18
1276462800.0,14.06.2010,3.4,3.28,3.4,3.28
1276549200.0,15.06.2010,3.52,3.38,3.53,3.38
1276635600.0,16.06.2010,3.48,3.55,3.57,3.45
1276722000.0,17.06.2010,3.52,3.48,3.57,3.47
1276808400.0,18.06.2010,3.52,3.53,3.55,3.48
1277067600.0,21.06.2010,3.48,3.57,3.57,3.47
1277154000.0,22.06.2010,3.4,3.45,3.47,3.38
1277240400.0,23.06.2010,3.3,3.37,3.4,3.28
1277326800.0,24.06.2010,3.32,3.33,3.33,3.23
1277413200.0,25.06.2010,3.3,3.3,3.32,3.27
1277672400.0,28.06.2010,3.32,3.3,3.37,3.28
1277758800.0,29.06.2010,3.27,3.28,3.32,3.25
1277845200.0,30.06.2010,3.27,3.28,3.3,3.25
1277931600.0,01.07.2010,3.3,3.25,3.3,3.23
